"logFC" "logCPM" "F" "PValue"
"jg18064.t1" 1.11350744652081 5.86315263367622 23.1568849020975 2.89329663618852e-05
"jg4734.t1" 0.0752827989461894 6.62054939850828 0.0511327513484171 0.822433848377338
"jg2453.t1" -0.462139831230637 5.82131674573365 3.98652601459654 0.0537782405788263
"jg24023.t1" 0.306381097182449 5.10149989532271 1.20382212826258 0.280133941907715
"jg9727.t1" -3.358761184659 6.73202123859257 46.7975569096064 6.49709736019609e-08
"jg19375.t1" 0.366541672372967 6.51086649137472 1.9418361387276 0.17235362279249
"jg9667.t1" -3.21718971502627 7.83510048835973 50.741825559175 2.82130661712156e-08
"jg22536.t1" -0.215668789467404 5.35148720224228 1.07621354994427 0.306739647106685
"jg3681.t1" 0.575771237257139 5.72663603809617 8.49469402075625 0.00620548510081664
"jg18405.t1" -0.940300487839951 8.04657009119601 14.2433668866409 0.000604072003120747
"jg23748.t1" 0.0486524091706925 5.2577135514925 0.0492443888993329 0.951877833935351
"jg20047.t1" 0.346624890974728 5.6204202774569 2.36799289421212 0.13293925389509
"jg20943.t1" 0.239494668430723 5.66181114646783 1.49321504371352 0.427902544589938
"jg9651.t1" -1.92359278121593 17.7748977792103 26.2170323433893 1.14675474572921e-05
"jg15486.t1" 0.106978536676447 5.92408918453304 0.227882954009278 0.636098773997362
"jg3319.t1" 0.557783521839245 5.59947487598313 6.71942920397735 0.0138731837225047
"jg21558.t1" -0.0406780733244737 6.64935172640724 0.0442799202649779 0.834567579580392
"jg6273.t1" -0.00177151137277964 5.16079493470658 2.05803483424519e-05 0.99640641047438
"jg11080.t1" 0.590223544389877 5.56447955728224 2.90176499844432 0.0974470129947784
"jg22527.t1" -0.153389160550236 5.51130012528586 0.404562707036076 0.528926014531388
"jg18401.t1" -0.430845831052009 9.60609453995421 4.93223006170648 0.0330033039652565
"jg4337.t1" 0.37050355130712 5.42971708121329 2.3251580294197 0.877455172252735
"jg15986.t1" 0.311888197414971 5.70827760179954 1.85131149466527 0.544125076018048
"jg14957.t1" 0.0139236548505327 6.0455589189012 0.00653750390465428 0.936023129035585
"jg23915.t1" 0.0340253901742558 6.17115698051807 0.0396958917957144 0.843242195554565
"jg19933.t1" 1.01689836092836 5.45986625846376 19.2470505251523 0.000102338391314816
"jg20714.t1" -0.148535322530965 5.0265205046983 0.287383234328014 0.595331004722679
"jg5359.t1" 0.264305433943116 6.84376904243728 2.10338504176297 0.155975784766843
"jg20992.t1" 0.416595151428766 6.25254875750252 3.28783880253326 0.0784743933813759
"jg9646.t1" 0.103627833034647 15.1318016026298 0.0698636188923099 0.793103014934026
"jg2705.t1" 0.253993662580985 7.78478485097193 2.90088539589553 0.0974957977686144
"jg17010.t1" 0.346619557669965 5.09757974819891 1.16583437329372 0.287725586052873
"jg6166.t1" 0.532098257828481 5.70692042230842 4.52789886272586 0.0405462944934736
"jg23178.t1" 0.0213515548422795 6.25524600021264 0.00821408778807465 0.928307790417812
"jg2445.t1" 0.197561036389283 6.01911266014687 0.643139720189357 0.428048062812515
"jg13843.t1" 0.516745342627683 6.43399798551097 4.90052462702662 0.0335354119166487
"jg5735.t1" 0.324169268090394 5.49030899792384 1.55016956540613 0.221474299676672
"jg11296.t1" 0.313875488876029 5.75478475578956 2.50044237570486 0.122910623213443
"jg7283.t1" -0.162552832557873 5.19591456136403 0.441293330548676 0.969394430343391
