jg11723.t2	GO:0015116
jg11723.t2	GO:0016021
jg11724.t1	GO:0005506
jg11724.t1	GO:0016705
jg11724.t1	GO:0020037
jg11724.t1	GO:0055114
jg11725.t1	GO:0008272
jg11725.t1	GO:0015116
jg11725.t1	GO:0016021
jg11738.t1	GO:0008194
jg11739.t1	GO:0008194
jg11741.t1	GO:0008194
jg11745.t1	GO:0016021
jg11745.t1	GO:0033617
jg11746.t1	GO:0016021
jg11748.t1	GO:0005634
jg11749.t1	GO:0005515
jg11751.t1	GO:0005515
jg11752.t1	GO:0004672
jg11752.t1	GO:0005524
jg11752.t1	GO:0006468
jg11762.t1	GO:0005515
jg11765.t1	GO:0055114
jg11766.t1	GO:0055114
jg11768.t1	GO:0055114
jg11778.t1	GO:0016021
jg11778.t1	GO:0022857
jg11778.t1	GO:0055085
jg11780.t1	GO:0030145
jg11780.t1	GO:0070006
jg11788.t1	GO:0005576
jg11788.t1	GO:0005975
jg11788.t1	GO:0008061
jg11800.t1	GO:0000723
jg11800.t1	GO:0003678
jg11800.t1	GO:0006281
jg11801.t1	GO:0004016
jg11801.t1	GO:0005886
jg11801.t1	GO:0006171
jg11801.t1	GO:0009190
jg11801.t1	GO:0035556
jg1181.t1	GO:0003676
jg1181.t1	GO:0008270
jg11815.t1	GO:0008272
jg11815.t1	GO:0015116
jg11815.t1	GO:0016021
jg11816.t1	GO:0008272
jg11816.t1	GO:0015116
jg11816.t1	GO:0016021
jg11817.t1	GO:0046983
jg11819.t1	GO:0016021
jg11819.t1	GO:0051180
jg11819.t1	GO:0090482
jg11820.t1	GO:0016021
jg11820.t1	GO:0051180
jg11820.t1	GO:0090482
jg11833.t1	GO:0015986
jg11833.t1	GO:0045261
jg11833.t1	GO:0046933
jg11834.t1	GO:0004672
jg11834.t1	GO:0005524
jg11834.t1	GO:0006468
jg11835.t1	GO:0016021
jg11839.t1	GO:0003676
jg11839.t1	GO:0005524
jg1184.t1	GO:0003676
jg1184.t1	GO:0008270
jg1184.t1	GO:0015074
jg11844.t1	GO:0004181
jg11844.t1	GO:0006508
jg11844.t1	GO:0008270
jg11845.t1	GO:0070403
jg11846.t1	GO:0003735
jg11846.t1	GO:0005840
jg11846.t1	GO:0006412
jg11847.t1	GO:0005515
jg11847.t1	GO:0007165
jg11848.t1	GO:0004672
jg11848.t1	GO:0005524
jg11848.t1	GO:0006468
jg11849.t1	GO:0004672
jg11849.t1	GO:0005524
jg11849.t1	GO:0006468
jg11854.t1	GO:0004806
jg11856.t1	GO:0005515
jg11864.t1	GO:0016787
jg11868.t1	GO:0005230
jg11868.t1	GO:0006811
jg11868.t1	GO:0016021
jg11870.t1	GO:0005230
jg11870.t1	GO:0006811
jg11870.t1	GO:0016021
jg11870.t2	GO:0005230
jg11870.t2	GO:0006811
jg11870.t2	GO:0016021
jg11871.t1	GO:0008270
jg11872.t1	GO:0003777
jg11872.t1	GO:0005524
jg11872.t1	GO:0007018
jg11872.t1	GO:0008017
